지역코드,아파트,시도명,시군구,법정동,지번,거래일,전용면적,층,거래금액
47210,명성2차,경상북도,영주시,가흥동,539-1,2022-05-23,45.0457,4,"5,500"
47210,화성리버빌2,경상북도,영주시,가흥동,254,2022-05-23,59.4512,4,"12,600"
47210,명성2차,경상북도,영주시,가흥동,539-1,2022-05-25,59.7285,5,"6,500"
47210,현대강변타운2,경상북도,영주시,가흥동,319,2022-05-25,84.93,14,"13,500"
47210,현대강변타운2,경상북도,영주시,가흥동,319,2022-05-25,59.46,5,"8,300"
47210,가흥세영리첼,경상북도,영주시,가흥동,1796,2022-05-26,59.2111,7,"20,000"
47210,가흥동현대,경상북도,영주시,가흥동,520-3,2022-05-26,75.01,6,"10,500"
47210,현대강변타운2,경상북도,영주시,가흥동,319,2022-05-27,84.93,4,"12,600"
47210,시영,경상북도,영주시,가흥동,530,2022-05-27,52.17,3,"3,200"
47210,명성2차,경상북도,영주시,가흥동,539-1,2022-05-27,45.0457,3,"7,000"
47210,현대강변타운2,경상북도,영주시,가흥동,319,2022-05-28,59.46,11,"8,100"
47210,화성리버빌1,경상북도,영주시,가흥동,522-7,2022-05-30,55.8277,14,"9,700"
47210,골든렉시움,경상북도,영주시,풍기읍 동부리,547,2022-05-02,84.8694,7,"24,300"
47210,한양임대,경상북도,영주시,풍기읍 동부리,305-1,2022-05-09,38.85,1,"3,100"
47210,풍기코아루,경상북도,영주시,풍기읍 동부리,593,2022-05-10,77.464,10,"22,000"
47210,풍기코아루,경상북도,영주시,풍기읍 동부리,593,2022-05-12,77.464,5,"21,990"
47210,풍기코아루,경상북도,영주시,풍기읍 동부리,593,2022-05-16,77.464,9,"21,990"
47210,풍기코아루,경상북도,영주시,풍기읍 동부리,593,2022-05-27,77.464,7,"21,990"
47210,삼일,경상북도,영주시,풍기읍 동부리,104,2022-05-27,59.97,3,"6,700"
47210,코아루,경상북도,영주시,상망동,834,2022-06-04,84.9197,1,"20,500"
47210,코아루,경상북도,영주시,상망동,834,2022-06-10,125.3359,13,"33,000"
47210,코아루,경상북도,영주시,상망동,834,2022-06-10,84.9197,14,"24,000"
47210,경일미래타운,경상북도,영주시,상망동,562-2,2022-06-24,59.6058,12,"11,000"
47210,행복타운,경상북도,영주시,하망동,340-19,2022-06-03,59.227,3,"16,000"
47210,청구,경상북도,영주시,하망동,524-1,2022-06-08,76.0393,8,"18,000"
